Item Code,Item Name,Loss Rate (%)
1.029E+14,Niushou Shengcai,4.39
1.029E+14,Sichuan Red Cedar,10.46
1.029E+14,Xixia Black Mushroom (1),10.8
1.029E+14,Local Xiaomao Cabbage,0.18
1.029E+14,White Caitai,8.78
1.029E+14,Amaranth,18.52
1.029E+14,Yunnan Shengcai,15.25
1.029E+14,Zhuyecai,13.62
1.029E+14,Chinese Cabbage,7.59
1.029E+14,Nanguajian,13.46
1.029E+14,Shanghaiqing,14.43
1.029E+14,Radish Leaves,5.35
1.029E+14,Niushou Youcai,12.17
1.029E+14,Garden Chrysanthemum,6.27
1.029E+14,Caidian Quinoa Artemisia,0.47
1.029E+14,Caixin,13.7
1.029E+14,Muercai,7.61
1.029E+14,Chinese Cabbage,22.27
1.029E+14,Wandoujian,8.36
1.029E+14,Yunnan Lettuces,12.81
1.029E+14,Lotus Root,15.32
1.029E+14,Red Hot Peppers,6.73
1.029E+14,Green Hot Peppers,6.72
1.029E+14,Red Pepper (1),11.76
1.029E+14,Eggplant (2),6.07
1.029E+14,Green Eggplant (1),5.01
1.029E+14,Xixia Mushroom (1),13.82
1.029E+14,Needle Mushroom (1),3.43
1.029E+14,Machixian,11.78
1.029E+14,Broccoli,9.26
1.029E+14,Local Spinach,10.46
1.029E+14,Yellow Xincai (1),10.64
1.029E+14,Black Rapeseed,0.1
1.029E+14,Ping Mushroom,11.6
1.029E+14,Net Lotus Root (1),5.54
1.029E+14,Green Hangjiao (1),0
1.029E+14,Jigu Mushroom (1),8.99
1.029E+14,Red Hang Pepper,9.99
1.029E+14,Paopaojiao (Jingpin),7.08
1.029E+14,7 Colour Pepper (1),15.98
1.029E+14,The White Mushroom (1),9.43
1.029E+14,Local Shanghaiqing,11.99
1.029E+14,Spinach,18.51
1.029E+14,High Melon (1),29.25
1.029E+14,Wawacai,2.48
1.029E+14,The Agaricus Bisporus,12.78
1.029E+14,The Crab Flavor Mushroom (1),9.24
1.029E+14,Haixian Mushroom (1),9.89
1.029E+14,Green Hangzhou Pepper (2),9
1.029E+14,Hongshujian,8.42
1.029E+14,Zhijiang Red Bolt,11.38
1.029E+14,Bell Pepper (1),16.33
1.029E+14,Millet Pepper,5.86
1.029E+14,Apricot Bao Mushroom (1),5.05
1.029E+14,Huanghuacai,16.89
1.029E+14,Kuaicai,20.38
1.029E+14,Luosi Pepper,10.18
1.029E+14,Round Eggplant,0.32
1.029E+14,Suizhou Bubble Green,12.2
1.029E+14,Purple Cabbage (1),25.53
1.029E+14,Red Line Pepper,7.71
1.029E+14,The Red Bell Pepper (1),8.93
1.029E+14,Lotus (Ea),12.17
1.029E+14,Water Chestnut (Lingjiao),9.61
1.029E+14,Jigu Mushroom (Bunch),12.42
1.029E+14,Needle Mushroom (Bag) (1),8.85
1.029E+14,Panax Notoginseng,16.95
1.029E+14,Dongmenkou Xiaobaicai,27.84
1.029E+14,Foreign Garland Chrysanthemum ,26.16
1.029E+14,Ice Grass,15.01
1.029E+14,Tremella (Flower),9.14
1.029E+14,Perilla,12.88
1.029E+14,Mint,13.28
1.029E+14,The Dandelion,15.92
1.029E+14,Red Lotus Root Zone,16.63
1.029E+14,Siguajian,15.98
1.029E+14,Naibaicai,15.68
1.029E+14,Mustard,13.75
1.029E+14,Big Broccoli,4.69
1.029E+14,Miantiaocai,12.8
1.029E+14,Sweet Chinese Cabbage,9.43
1.029E+14,Hericium ,16.19
1.029E+14,Jicai,11.56
1.029E+14,Fresh Black Fungus (1),7.63
1.029E+14,Water Chestnut,11.02
1.029E+14,Dalong Eggplant,10.94
1.029E+14,Fruit Pepper (Orange),9.43
1.029E+14,Qinggengsanhua,17.06
1.029E+14,Chicken Fir Bacteria,11.93
1.029E+14,Wild Lotus Root (1),7.97
1.029E+14,Black Porcini,10.17
1.029E+14,Haixian Mushroom (Bag) (1),5.96
1.029E+14,Xiuzhen Mushroom,11.93
1.029E+14,Chinese Caterpillar Fungus Flowers (Box) (1),11.93
1.029E+14,Tea Tree Mushroom (Bag),9.97
1.029E+14,Black Chicken  Mushroom,11.03
1.029E+14,Apricot Bao Mushroom (Bag),10.03
1.029E+14,The White Mushroom (Bag),6.57
1.029E+14,Malan Head,15.16
1.029E+14,Ganlanye,11.58
1.029E+14,Wuhu Green Pepper (1),5.7
1.029E+14,Hua Eggplant,6.98
1.029E+14,Chinese Caterpillar Fungus Flowers (Bag),11.13
1.029E+14,Wild Pink Lotus Root,12.69
1.029E+14,Hongshan Caitai,9.34
1.029E+14,Chopped Red Pine,8.75
1.029E+14,The Steak Mushrooms,8.11
1.029E+14,Honghu Lotus Root Powder (Fenou),11.81
1.029E+14,Pepper Mix,9.43
1.029E+14,Changxianqie,6.9
1.029E+14,The Local Yellow Youcai,6.73
1.029E+14,Green Caitai,10.94
1.029E+14,White Jelly Mushroom,11.13
1.029E+14,Xiaoqingcai (1),10.33
1.029E+14,Wuhu Green Pepper (2),8.78
1.029E+14,Net Lotus Root (2),11.62
1.029E+14,Fresh Lotus Root Zone (Bag),12.69
1.029E+14,Fresh Rice Dumplings Leaves,10.94
1.029E+14,Aihao,9.27
1.029E+14,Apricot Bao Mushroom (250 G),9.43
1.029E+14,Naibai Caimiao,10.94
1.029E+14,Xiaozhoupi,8.71
1.029E+14,Juhua Youcai,3.43
1.029E+14,Yuganjiao,9.43
1.029E+14,Lameizi,0
1.029E+14,Purple Hot Peppers,9.43
1.029E+14,Purple Screw Pepper,0
1.029E+14,Fruit Chili,0.18
1.029E+14,Shuanggou Cabbage,10.75
1.029E+14,Zhijiang Red Bolt (Bag),9.43
1.029E+14,Yunnan Lettuce (Bag),9.43
1.029E+14,Yunnan Leaf Lettuce (Bag),9.43
1.029E+14,Garden Chrysanthemum (Bag),9.43
1.029E+14,Spinach (Bag),9.43
1.029E+14,Caixin (Bag),9.43
1.029E+14,Shanghai Green (Bag),9.43
1.029E+14,Xiaoqingcai (2),9.43
1.029E+14,Hongshan Shoutidai,0
1.029E+14,Hongshan Gift Box,0
1.029E+14,Chopped Red Pine (Box),0
1.029E+14,The Steak Mushrooms (Box),19.8
1.029E+14,The Pork Stomach Mushroom (Box),0
1.029E+14,Black Porcini (Box),0
1.029E+14,Black Chicken Fir Bacteria (Box),0
1.029E+14,Yuxingcao (Bag),9.43
1.029E+14,Haixian Mushroom (Bag),9.43
1.029E+14,Fresh Edible Fungus (Bag),9.43
1.029E+14,Millet Pepper (Bag),9.43
1.029E+14,Ice Grass (Box),10.34
1.029E+14,Green Hot Peppers (Bag),9.43
1.029E+14,Apricot Bao Mushroom (Bag),9.43
1.029E+14,7 Colour Pepper (Bag),9.43
1.029E+14,Bell Pepper (Bag),9.43
1.029E+14,Red Bell Pepper (Bag),9.43
1.029E+14,Agaricus Bisporus (Bag),9.43
1.029E+14,Needle Mushroom (Bag),9.43
1.029E+14,Chinese Caterpillar Fungus Flowers (Bag),9.43
1.029E+14,Jigu (Bag),9.43
1.029E+14,Xiaozhoupi (Bag),9.43
1.029E+14,Water Chestnut (Bag),9.43
1.029E+14,Wuhu Green Pepper (Bag),9.43
1.029E+14,Basil (Bag),9.43
1.029E+14,Green Hang Pepper (Bag),9.43
1.029E+14,Red Hang Pepper (Bag),9.43
1.029E+14,Fruit Pepper (Bag),9.43
1.029E+14,Green Line Pepper (Bag),9.43
1.029E+14,Red Hot Peppers (Bag),9.43
1.029E+14,Luosi Pepper (Bag),9.43
1.029E+14,Xiangtianhongcaitai (Bag),0
1.029E+14,7 Colour Pepper (2),9.43
1.029E+14,Bell Pepper (2),9.43
1.029E+14,Red Bell Pepper (2),9.43
1.029E+14,Artemisia Stelleriana,0
1.029E+14,Yuxingcao ,9.43
1.029E+14,Xixia Xianggu Mushroom (2),9.43
1.029E+14,Fresh Edible Fungus (2),9.43
1.029E+14,Fresh Sea (2),9.43
1.029E+14,Jigu (2),9.43
1.029E+14,High Melon (2),9.43
1.029E+14,Zhuyecai (Bag),9.43
1.029E+14,Ginger And Xiaomijiao Mix (Small Bag),9.43
1.029E+14,Chuncai,29.03
1.029E+14,Sophora Japonica,16.8
1.029E+14,Hongshujian (Bag),9.43
1.029E+14,Caidian Quinoa Artemisia (Bag),9.43
1.029E+14,Red Coral (Leaf),9.43
1.029E+14,Red Oak Leaf,9.43
1.029E+14,Green Butter,9.43
1.029E+14,Powcan Mountain Chinese Cabbage ,9.43
1.029E+14,Purple Cabbage (2),9.43
1.029E+14,Huangxincai (2),9.43
1.029E+14,Needle Mushroom (2),9.43
1.029E+14,Apricot Bao Mushroom (2),9.43
1.029E+14,Xixia Black Mushroom (2),9.43
1.029E+14,Green Eggplant (2),9.43
1.029E+14,Eggplant (1),9.43
1.029E+14,Round Eggplant (1),9.43
1.029E+14,Zhijiang Qinggengsanhua,9.43
1.029E+14,Amaranth (Bag),9.43
1.029E+14,Chinese Cabbage (Bag),9.43
1.029E+14,Xiaoqingcai (Bag),9.43
1.029E+14,Cabbage Stem (Bag),9.43
1.029E+14,Red Pepper (Bag),9.43
1.029E+14,Zhimaxiancai,0
1.029E+14,Xianzongye,0
1.029E+14,Agaricus Bisporus (Box),0.2
1.029E+14,Xianzongye (Bag) (1),0
1.029E+14,Green And Red Hang Pepper Mix (Bag),9.43
1.029E+14,Black Mushroom (Bag),9.43
1.029E+14,Honghu Lotus (Lotus Root),9.43
1.029E+14,The Fungus Mushroom Hot Pot Package (Bag),9.43
1.029E+14,Red Pepper (2),9.43
1.029E+14,Foreign Garland Chrysanthemum  (Bag),9.43
1.029E+14,Net Lotus Root (3),9.43
1.029E+14,Crab Flavor Mushroom And White Mushroom Mix (Box),0.84
1.029E+14,Longyacai,9.43
1.029E+14,Yellow Baicai (1),9.43
1.029E+14,Xixia Xianggu Mushroom (Bag),9.43
1.029E+14,Chinese Cabbage Seedling,0
1.029E+14,Wild Lotus Root (2),9.43
1.029E+14,Mushroom And Leaf Mix (Bag),9.43
1.029E+14,Green And Red Jian Pepper Mix (Bag),9.43
1.029E+14,Velvet Antler Mushroom (Box),0
1.029E+14,Muercai (Bag),9.43
1.029E+14,Round Eggplant (2),6.71
1.029E+14,Broccoli,9.43
1.029E+14,Honghu Lotus Root,24.05
1.029E+14,Green Line Pepper,7.8
1.029E+14,Lotus Root Tip,0
1.029E+14,Youcaitai,10.94
1.029E+14,Chinese Caterpillar Fungus Flowers,11.68
1.029E+14,Huangbaicai (2),15.61
1.029E+14,Purple Beicai,19.58
1.0693E+14,The Crab Flavor Mushroom (Bag),11.13
1.0693E+14,Haixian Mushroom (Bag) (2),0
1.06932E+14,Embroidered Aureus,11.13
1.06932E+14,Embroidered Aureus (Bag),8.34
1.0695E+14,Needle Mushroom (Bag) (3),11.13
1.0695E+14,Needle Mushroom (Bag) (2),6.64
1.0695E+14,Needle Mushroom (Box),0.45
1.06956E+14,The White Mushroom (2),7.3
1.06956E+14,The Crab Flavor Mushroom (2),16.04
1.06958E+14,The White Mushroom (Box),0
1.06958E+14,The Crab Flavor Mushroom (Box),0
1.06959E+14,Haixian Mushroom (Bag) (4),11.13
1.06972E+14,Haixian Mushroom (Bunch),0
1.06972E+14,Haixian Mushroom (Bag) (3),1.3
1.06972E+14,Xianzongye (Bag) (2),0
1.06973E+14,Xianzongye (Bag) (3),9.43
1.06973E+14,Chinese Caterpillar Fungus Flowers (Box) (2),11.13
1.06974E+14,Hfyg Haixian Mushroom (Bunch),0.12
